code,nombre,marca,categoria,kcal_100g,proteinas_100g,grasas_100g,carbohidratos_100g,alergenos,popularidad
3245412950872,1/2 baguette,Carrefour,pan,249.0,7.4,1.2,51.0,en:gluten,24950000024
3560070604340,10 Burgers meat de vacuno* *Preparado 80% a base de carne de vacuno picada con proteínas vegetales,Simplo,carne,256.0,17.0,20.0,1.9,en:soybeans,20900000005
3560071526184,10 Hojaldres Jamón Queso,Carrefour,platos_preparados,262.0,5.0,14.0,29.0,en:eggs|en:gluten|en:milk,2
3560071507367,10 Hojaldres con queso,"Carrefour, Simpl",platos_preparados,262.0,4.6,13.0,30.0,en:eggs|en:gluten|en:milk,14
3560071517441,10 Wraps Trigo,Casino,pan,326.0,9.4,7.3,55.0,en:gluten,24950000036
3560070492497,10 burgers burguer meat de vacuno*,"Carrefour, Produits Blancs",carne,206.0,13.0,15.0,2.7,en:gluten|en:milk|en:soybeans,20900000007
3245412051661,10 panes de leche con pepitas de chocolate,Carrefour,snacks_dulces,365.0,8.5,13.0,52.0,en:eggs|en:gluten|en:milk,24950000022
3560070820405,100 biscotes con harina integral,Carrefour,pan,386.0,13.0,4.5,70.0,,2
3560071184483,100% Agua de Coco Eco,"Carrefour BIO, Carrefour",bebidas,15.0,0.5,0.0,2.9,,24950000061
3560071482916,100% Fruta exprimida Manzana,"Carrefour, Simpl",bebidas,43.0,0.0,0.0,10.0,,24900000008
3560071017613,100% ZUMO Clementina,Carrefour,bebidas,51.0,0.5,0.0,12.0,,18900000003
3560070583348,100% ZUMO NATURAL Clementina,"CMI (Carrefour Marchandises Internationales), Carrefour, Groupe Carrefour",bebidas,46.0,0.5,0.1,10.0,,24950000043
3560070275267,100% ZUMO NATURAL Manzana,"CMI (Carrefour Marchandises Internationales), Carrefour, Groupe Carrefour",bebidas,41.0,0.0,0.0,10.0,,24990000054
3560070823239,100% ZUMO NATURAL Manzana,Carrefour,bebidas,45.0,0.0,0.0,10.0,,24950000021
3560071018030,100% ZUMO NATURAL Manzana,Carrefour,bebidas,42.0,0.0,0.0,10.0,,18900000002
3560070338337,100% ZUMO NATURAL NARANJA Con pulpa,Carrefour,bebidas,38.0,0.7,0.0,8.7,,24950000020
3560070275236,100% ZUMO NATURAL Piña,"CMI (Carrefour Marchandises Internationales), Carrefour, Groupe Carrefour",bebidas,46.0,0.0,0.0,11.0,,24950000023
3560070278831,100% ZUMO NATURAL Pomelo,"CMI (Carrefour Marchandises Internationales), Carrefour, Groupe Carrefour",bebidas,37.0,0.5,0.0,8.5,,24950000032
3560070797462,100% ZUMO NATURAL Uva,Carrefour,bebidas,64.0,0.5,0.5,16.0,,24950000033
3560070720712,100% ZUMO NATURAL Zumo de Manzana,"Carrefour, Carrefour Extra",bebidas,43.0,0.0,0.0,10.0,,24950000034
3560071181086,100% Zumo exprimido Zumo de Zanahoria Eco,Carrefour,bebidas,27.0,0.5,0.0,6.0,,2
3560070820603,100% Zumo natural MULTIFRUTAS,"Carrefour BIO, Carrefour",bebidas,44.0,0.0,0.0,10.0,,24950000039
3560070820542,100% Zumo natural Naranja Sin pulpa,Carrefour BIO,bebidas,44.0,0.7,0.5,9.4,,24990000093
3560070748396,100% exprimida zumo de clementina,Carrefour,bebidas,41.0,0.0,0.0,9.8,,1
3560070748334,100% exprimida zumo de piña,Carrefour,bebidas,49.0,0.5,0.5,12.0,,21900000003
3560070764785,100% exprimidas zumo de granada y uva,Carrefour,bebidas,59.0,0.0,0.0,15.0,,20900000001
3560070748426,100% exprimidas zumo multifrutas,Carrefour,bebidas,44.0,0.5,0.5,10.0,,20900000002
3560070748365,100% exprimido zumo de naranja sin pulpa,Carrefour,bebidas,38.0,0.6,0.1,9.2,,22950000002
3560070788521,100% zumo natural 4 cítricos,Carrefour,bebidas,46.0,0.0,0.0,11.0,,22900000006
3560071412937,100% zumo natural Granada,"Carrefour BIO, Carrefour",bebidas,50.0,0.5,0.0,12.0,,24900000020
3560070823260,100% zumo natural MANZANA MANGO,"Carrefour BIO, Carrefour",bebidas,46.0,0.0,0.0,11.0,,24950000017
3560070705924,100% zumo natural Manzana,Carrefour,bebidas,40.0,0.0,0.0,10.0,,21950000008
3560071438951,100% zumo natural Manzana,Carrefour,bebidas,40.0,0.0,0.0,10.0,,24950000023
3560071252533,100% zumo natural NARANJA sin pulpa,Carrefour,bebidas,43.0,0.7,0.0,9.4,,24950000028
3560070370535,100% zumo natural Naranja,Carrefour,bebidas,39.0,0.5,0.0,9.0,,21950000006
3560071321109,100% zumo natural Naranja,carefour,bebidas,38.0,0.9,0.0,8.6,,24950000028
3560071439019,100% zumo natural Naranja Sanguina,"Carrefour BIO, Carrefour",bebidas,38.0,0.7,0.7,8.7,,22900000005
3560071480530,100% zumo natural PIÑA,Carrefour,bebidas,48.0,0.0,0.0,11.0,,3
3560070823277,100% zumo natural POMELO ROSA,"Carrefour BIO, Carrefour",bebidas,35.0,0.7,0.5,7.6,fr:neant,24950000024
3560071438920,100% zumo natural Pomelo,"Carrefour BIO, Carrefour",bebidas,37.0,0.6,0.0,8.4,,14
3560070820566,100% zumo natural Uva,"Carrefour BIO, Carrefour",bebidas,66.0,0.5,0.5,16.0,,24950000046
3560071426583,100% zumo natural Uva,"Carrefour BIO, Carrefour",bebidas,65.0,0.0,0.0,16.0,,3
3560070820597,100% zumo natural ZUMO DE MANZANA,"Carrefour BIO, Carrefour",bebidas,43.0,0.0,0.0,10.0,,24995000092
3245412373039,100% zumo natural de naranja sin pulpa,Carrefour,bebidas,38.0,0.7,0.0,8.7,,24950000057
3560070828692,100% zumo natural frutas de vergel,Carrefour,bebidas,47.0,0.6,0.0,11.0,,22900000004
3560070215713,100% zumo natural multifrutas,Carrefour extra,bebidas,48.0,0.0,0.0,11.0,,24950000037
3560070430215,100% zumo natural multifrutas,Carrefour,bebidas,49.0,0.0,0.5,11.0,,24900000013
3560070788583,100% zumo natural multifrutas,Carrefour,bebidas,46.0,0.0,0.5,10.0,,24900000015
3560070717712,100% zumo natural naranja con pulpa,Carrefour,bebidas,38.0,0.7,0.0,8.7,,24950000028
3560070823253,100% zumo natural naranja con pulpa,Carrefour,bebidas,33.0,0.5,0.0,8.1,,24950000031
3560070338641,100% zumo natural naranja del brasil sin pulpa,"CMI Carrefour Marchandises Internationales,Carrefour,Groupe Carrefour",bebidas,41.0,0.5,0.0,9.1,,23900000007
3560070167470,100% zumo natural naranja sin pulpa,Carrefour,bebidas,39.0,0.5,0.0,9.4,,24950000048
3560070478637,100% zumo natural naranja sin pulpa,Carrefour,bebidas,39.0,0.5,0.0,9.4,,24990000074
3560070609345,100% zumo natural naranja sin pulpa,Carrefour,bebidas,39.0,0.6,0.0,9.4,,22950000003
3560071418199,100% zumo natural piña origen costa rica,"Carrefour, Carrefour Extra",bebidas,46.0,0.0,0.0,11.0,,24950000032
3560070583379,100% zumo natural zanahoria,Carrefour,verdura,22.0,0.8,0.0,5.1,,24950000018
3560070797493,100% zumo natural zumo de manzana,Carrefour,bebidas,41.0,0.5,0.5,10.0,,24950000041
3245411667979,100% zumo natural zumo de naranja sin pulpa,Carrefour,bebidas,38.0,0.7,0.0,8.7,,22900000002
3560070823246,100% zumo natural zumo de naranja sin pulpa,Carrefour,bebidas,38.0,0.7,0.0,8.7,,24990000057
