code,nombre,marca,categoria,kcal_100g,proteinas_100g,grasas_100g,carbohidratos_100g,alergenos,popularidad
3245412373039,100% zumo natural de naranja sin pulpa,Carrefour,bebidas,38.0,0.7,0.0,8.7,,24950000057
8480017211194,4 frutos exóticos,Dia,snacks_dulces,161.0,1.2,5.8,25.6,en:milk,2
8480017121783,5 brotes,Vegecampo Dia,verdura,16.0,2.0,0.2,0.6,,22900000009
8410076472946,8 Tortillas - Blé nature,"General Mills, Old el Paso",pan,299.0,9.1,5.2,53.2,en:gluten,24999000247
8480017279002,8480017088512,Dia,frutos_secos_semillas,513.0,12.0,33.0,40.0,,23900000004
8480017126689,Aceite de Oliva,Dia,aceites_salsas,824.0,0.0,91.6,0.0,,23900000003
8480017001047,"Aceite de Oliva, acidez ≤ 0,4°",Dia,aceites_salsas,900.0,0.2,99.9,0.0,,20900000002
8480017001054,Aceite de oliva intenso,Dia,aceites_salsas,824.0,0.0,91.5,0.0,,21900000002
8480017052025,Aceite de oliva virgen extra,Dia,aceites_salsas,823.0,0.0,91.4,0.0,,24900000007
8480017123602,Aceite de oliva virgen extra &quot;Dia&quot;,Dia,aceites_salsas,823.0,0.0,91.4,0.0,,20900000004
8480017052094,Aceite de oliva virgen extra Frutado,Dia,aceites_salsas,823.5,0.0,91.5,0.0,,18900000002
8411190101392,Aceite de oliva virgen extra hojiblanca,Coosur,aceites_salsas,822.0,0.0,91.0,0.0,,24950000027
8480017172327,Aceite de oliva virgen extra picual,"Delicious Dia,Dia",aceites_salsas,820.0,0.0,91.0,0.0,,3
8480017001016,Aceite refinado de girasol,Dia,aceites_salsas,826.0,0.0,91.8,0.0,,22950000002
8480017574657,Acelgas,Dia,verdura,14.0,0.8,0.5,1.5,,18900000003
8480017008527,Aderezo al limón,Dia,aceites_salsas,23.0,0.0,0.0,3.4,,2
8480017169723,Aguacates,monsieur tropical,fruta,205.0,1.6,20.6,0.8,,21900000004
8480017258939,Aguacates Sol Málaga,Mesbonsa,fruta,205.0,1.6,20.6,0.8,,21900000003
8425531110011,Ajo Blanco Extra,Juan de Dios,verdura,111.0,5.3,0.2,18.6,,1
8435065310115,Ajo molido deshidratado,Casa Femafa,aceites_salsas,111.0,5.3,0.2,18.6,,0
8480017785411,Ajo picado,Dia,verdura,166.0,6.3,0.5,33.0,,1
8480017176370,Albóndigas con tomate y patatas,Dia,carne,174.0,7.2,11.5,10.1,en:gluten|en:milk,1
8480017111937,Alcachofa corazones,Dia,verdura,35.4,1.6,0.2,6.8,,20900000005
8480017102423,Alcachofa ultracongelada,Dia,verdura,55.0,2.9,0.4,8.2,,2
8480017120830,Alcaparras en vinagre,Dia,aceites_salsas,32.0,1.0,0.5,6.1,en:sulphur-dioxide-and-sulphites,3
8410721113040,Almejas blancas al natural,Dani,pescado_marisco,110.0,17.5,3.0,4.0,en:molluscs,19900000002
8436558283145,Almejones al natural,Galica,pescado_marisco,62.0,9.0,1.5,3.1,en:molluscs,2
8480017170293,Almendras con piel tostadas,Dia,frutos_secos_semillas,619.0,21.0,52.5,10.1,,22900000007
8410297161780,Alpro coco,Alpro,lacteos,20.0,0.1,0.9,2.7,,21950000011
8413295300212,Altramuces encurtidos,Huerta de Carpia,legumbres,104.4,9.6,2.0,10.5,en:lupin,1
8480017613189,Alubia negra - Frijoles negros - caraotas,Dia,legumbres,390.0,22.3,1.4,61.3,,1
8410133122425,Alubias,La Asturiana,legumbres,292.0,21.4,1.0,40.0,,1
8480017012333,Alubias blancas cocidas en conserva,Dia,legumbres,80.0,4.8,0.6,10.4,en:sulphur-dioxide-and-sulphites|fr:metabisulfito,24900000008
8410133129813,Alubias rojas,"La Asturiana,Selección de Productos Leoneses",legumbres,89.0,6.3,0.4,11.5,,3
8480017734914,Amanida italiana,Dia,platos_preparados,142.0,8.1,5.8,13.9,,1
8480017241573,Anacardo al Natural,"Naturmundo,Dia",frutos_secos_semillas,553.0,18.2,43.8,26.9,en:nuts,24950000019
8480017034540,Anacardos al punto de sal,Dia,frutos_secos_semillas,596.0,21.2,49.5,9.0,en:nuts,20950000001
