code,nombre,marca,categoria,kcal_100g,proteinas_100g,grasas_100g,carbohidratos_100g,alergenos,popularidad
4056489044574,12 huevos frescos de Gallinas criadas en suelo,lidl,huevos,148.0,12.7,10.8,0.5,,24900000008
4056489044451,12 huevos frescos de gallinas,Lidl,huevos,97.0,12.0,5.3,0.2,,1
20879204,12 huevos frescos de gallinas criadas en suelo,Lidl,huevos,154.0,12.5,11.2,0.7,en:eggs,23900000001
2219870009053,2 RODAJAS DE SALMÓN,Lidl,pescado_marisco,216.0,18.7,15.7,0.0,en:fish,1
20946371,2 burgers vegetales arroz integral y verduritas,My Best Veggie,carne,136.1,3.5,3.3,22.0,,1
20038175,2 burgers vegetales quinoa al curry,My Best Veggie,carne,105.5,2.9,4.5,12.0,,1
2219870007332,2 rodajas de salmón,Pescado azul,pescado_marisco,216.0,18.7,15.7,0.0,en:fish,5
5000159559065,2 snickers naciones,Mars,snacks_dulces,490.0,8.7,23.0,60.0,en:eggs|en:milk|en:nuts|en:peanuts|en:soybeans,24950000018
20155247,4 Quesos,Milbona,yogures,346.0,25.0,26.5,2.0,en:milk,24950000021
20995607,4 frutas,"Bio Organic, Lidl, Lupilu",snacks_dulces,61.0,0.5,0.6,11.7,,23900000001
20138370,4 spring rolls,Culinea,platos_preparados,160.0,6.8,6.0,19.1,en:celery|en:eggs|en:gluten|en:milk,3
8410376042511,5 cereales con frutos rojos,gullón,snacks_dulces,434.0,6.2,14.0,57.0,en:gluten|en:soybeans|es:avena|es:avena,24950000033
4056489354079,6 Vegan sausages,"Chef Select, Lidl",carne,213.3,6.0,11.1,19.1,,24950000026
4056489044383,6 huevos XL frescos de gallinas criadas en suelo,Lidl,huevos,150.0,12.5,11.1,0.0,,21900000002
24061155,6 huevos frescos ecológicos,Gutbio,huevos,136.4,12.5,9.6,0.7,,23900000002
20046354,A+C+E+fruit,Solevita,bebidas,43.0,0.2,0.1,10.4,,1
4056489171447,Aceite de oliva,Olisone,aceites_salsas,824.0,0.0,91.6,0.0,,20900000002
20579814,Aceite de oliva virgen extra &quot;Oli Sone&quot;,"Oli Sone, Olisone",aceites_salsas,824.4,0.0,91.6,0.0,,1
4056489171454,Aceite de oliva virgen extra - olivar tradicional,Lidl / Olisone,aceites_salsas,824.0,0.0,91.3,0.0,,20900000002
20580629,Aceite de oliva virgen extra ecológico &quot;Oli Sone&quot;,"Oli Sone, Olisone",aceites_salsas,824.4,0.0,91.6,0.0,,1
20406042,Aceite oliva virgen,Olisone,aceites_salsas,822.0,0.0,91.4,0.0,,19900000005
20945923,Aceite refinado de girasol,Vita D'or,aceites_salsas,827.0,0.0,91.9,0.0,,23900000014
4056489044949,Aceitunas manzanilla rellenas de anchoa,Baresa,bebidas,155.0,1.3,16.0,0.0,en:fish,23900000006
8410500003654,Activia con trozos de piña,"Danone, Activia",yogures,46.7,4.4,0.1,6.9,en:milk,24900000016
7613034937575,After Eight,Nestlé,snacks_dulces,428.0,2.3,12.9,74.1,,24900000010
7613036912488,After Eight - Orange & mint flavour,Nestlé,snacks_dulces,424.0,2.1,12.9,73.2,en:milk,23950000005
4056489746706,Ahumado,Deluxe,aceites_salsas,837.0,0.0,93.0,0.0,,1
20649005,Ajo negro natural,"Deluxe,Lidl",aceites_salsas,190.5,8.8,0.4,35.9,en:sulphur-dioxide-and-sulphites,1
8436046502307,Ajo seco ecológico,Biotrend,verdura,111.0,5.3,0.2,18.6,,1
8426277696272,Ajos negros &quot;Sousacamp&quot;,Sousacamp,verdura,229.4,9.5,0.6,45.0,,0
4009700069245,Aktivia Erdbeere,"Activia, Danone",yogures,90.0,4.0,3.0,11.8,en:milk,21900000005
20188214,Albaricoque con almendra,Alesto,snacks_dulces,300.0,4.0,5.0,53.0,en:nuts|en:sulphur-dioxide-and-sulphites,1
20556662,Albóndigas de cerdo,Lidl,carne,207.0,18.0,14.0,0.8,,20900000007
20477455,Albóndigas pollo y pavo,Lidl,carne,176.0,14.2,9.5,6.8,,23900000002
20495596,Alcachofa troceada,Freshona,verdura,29.0,1.9,0.0,3.0,,13
20004323,Alcachofra,Freshona,aceites_salsas,29.0,2.2,0.6,2.6,,24950000025
20564971,Algas nori,"Vitasia, Vitasia Japan",pescado_marisco,316.1,50.4,6.5,14.0,,1
20232801,Alino para ensaladas yogur,"Chef Select, Saladinettes",aceites_salsas,216.0,2.0,19.6,7.8,,18900000002
20477981,Alitas adobadas,Lidl,carne,197.0,16.0,14.2,1.3,,1
20076429,Alitas de pollo barbacoa y miel,Lidl,carne,131.0,18.3,5.2,2.5,en:mustard,1
20764074,Almendra Natural,Alesto,frutos_secos_semillas,595.0,21.0,50.0,9.0,en:nuts,24950000020
4000417704009,Almendras con miel y sal,Ritter Sport,snacks_dulces,545.9,9.1,34.0,48.0,en:milk|en:nuts|en:soybeans,24950000020
20658663,Almendras frita y salada,Alesto,frutos_secos_semillas,629.0,23.9,55.4,4.1,en:nuts|en:peanuts,24900000020
20363307,Almendras fritas Variedad Marcona,Alesto,frutos_secos_semillas,665.7,22.0,60.3,3.9,en:nuts,0
20245450,Almendras tostadas con sal Variedad Largueta,Alesto,frutos_secos_semillas,649.1,24.7,56.5,3.8,en:nuts,1
20001308,Almond,Gelatelli,snacks_dulces,342.0,4.7,22.1,30.5,en:milk|en:nuts,21950000003
20945268,Almond Dessert,Milbona,lacteos,57.0,1.4,2.1,7.6,en:nuts,21900000003
4056489645979,Aloe Vera Drink,Solevita,bebidas,34.0,0.1,0.5,8.3,en:none,24900000020
20660017,Alubia de León con berza,Deluxe,platos_preparados,73.0,4.4,1.8,6.7,en:sulphur-dioxide-and-sulphites,2
20704131,Alubia plancheta,Deluxe,legumbres,77.0,5.2,0.6,9.9,,1
20657864,Alubias blancas,Campo Largo,legumbres,86.0,5.4,0.6,12.0,en:sulphur-dioxide-and-sulphites,20950000001
20657895,Alubias rojas,Campo Largo,legumbres,84.0,6.2,0.5,12.0,,0
20122478,Alubias rojas picantes,El Tequito,legumbres,88.0,6.0,0.4,12.1,,24900000013
20759773,Amaranto,Golden Sun,pasta_arroz,375.7,15.1,7.7,61.5,,21950000001
4056489450870,American Style Pizza Hawaii,Mcennedy,platos_preparados,210.0,9.5,6.0,28.5,en:gluten|en:milk,2
20707361,Amidala,"J.D. Gross, lidl",snacks_dulces,586.0,9.3,42.0,40.0,en:eggs|en:gluten|en:milk|en:nuts|en:soybeans|de:haselnuskern,23950000004
4056489406730,Anacardo frito,Alesto,frutos_secos_semillas,625.0,18.7,50.6,21.9,,21950000006
4056489507802,Anacardo tostado,Aleso,frutos_secos_semillas,620.0,21.3,48.8,22.0,en:nuts|en:Anacardos,24950000038
4335619202924,Anacardo tostado BBQ,Alesto,frutos_secos_semillas,598.0,16.0,47.0,26.0,en:nuts,13
20267605,Anacardos,Alesto,frutos_secos_semillas,180.0,6.2,14.3,5.9,en:nuts,24999500676
20575922,Anacardos fritos y salados,Alesto,frutos_secos_semillas,623.0,18.0,49.3,25.0,en:nuts,20950000001
4056489105381,Anacardos tostados y con sal,Alesto,frutos_secos_semillas,621.0,21.3,48.8,22.0,en:nuts,24990000067
20413422,Anacardos tostados y salados,Alesto,frutos_secos_semillas,618.0,18.5,50.0,21.7,en:nuts,24950000018
