code,nombre,marca,categoria,kcal_100g,proteinas_100g,grasas_100g,carbohidratos_100g,alergenos,popularidad
8480000211040,+PROTEÍNAS,Hacendado,yogures,51.0,7.1,0.4,4.8,en:milk,19950000001
8480000213341,+Proteínas Plátano,Hacendado,yogures,51.0,7.1,0.4,4.8,en:milk,22950000017
8413041318010,"0,0",Falke,bebidas,19.0,0.0,0.0,4.3,en:gluten,24900000012
8413041318003,"0,0",Falke,bebidas,19.0,0.0,0.0,4.3,en:gluten,21900000002
8480000664259,"0,0 gluten free",Steinburg,bebidas,24.0,0.2,0.0,5.8,en:gluten,19900000001
8411327002721,"0,0% Tostada",Mahou,bebidas,26.0,0.3,0.0,6.2,en:gluten,24900000012
8480000808684,10 tortillas integrales,Hacendado,pan,310.0,8.0,7.8,50.0,en:gluten,21950000008
8480000824776,100% Integral Familiar,Hacendado,pan,239.0,10.0,3.0,40.0,en:gluten,21950000001
8480000823748,100% integral,Hacendado,pan,251.0,11.0,4.5,38.0,,22900000003
66082323,100% integral sin corteza,Hacendado,pan,210.0,9.0,2.4,35.0,en:gluten,1
8437016823057,11 panecillos,Hacendado,pan,239.0,8.0,1.0,50.6,,21900000003
8480000809391,12 Mini Tortillas Trigo,Hacendado,pan,303.0,8.0,6.4,51.0,en:gluten,24950000027
8412406016325,12 huevos de gallina as camperas,Hacendado,huevos,141.0,13.0,9.7,0.7,,9
8422287122206,12 huevos frescos,Hacendado,huevos,150.0,12.5,11.1,0.0,,4
8480000650238,12 xuxes uvas nochevieja,Hacendado,snacks_dulces,343.7,3.8,0.5,81.0,,1
8436559590587,12huevosuelo,Marcopolo Comercio,huevos,133.0,12.1,9.2,0.5,en:eggs,3
8480000635709,2 baguettes jamón y queso,Hacendado,platos_preparados,238.0,12.8,7.4,30.1,,2
8480000635976,2 pizzas tomate y queso,Hacendado,platos_preparados,251.0,10.8,6.4,36.0,en:gluten|en:milk,24900000012
8480000832030,3 barras de pan,Hacendado,pan,268.0,8.9,1.3,54.0,en:gluten,24950000018
8480000832320,3 barras de pan aceite de oliva,Hacendado,pan,308.0,8.5,6.2,53.0,,20900000007
8437004621535,3 vegetales,"Hacendado,Foodiverse",verdura,40.0,2.1,0.0,6.7,,24900000007
8402001028373,3 vienas andaluzas,Mercadona,pan,237.0,7.6,1.0,48.0,en:gluten,9
8480000808943,4 piadinas,Hacendado,pan,315.0,7.0,8.5,53.0,,24950000043
8480000511188,4 quesos,Hacendado,yogures,352.0,25.0,28.0,0.0,en:eggs|en:milk,19950000001
8480000512345,4 quesos,Hacendado,yogures,354.0,23.0,28.0,2.5,en:milk,24950000036
17118880,4 quesos,Hacendado,yogures,352.0,25.0,28.0,0.0,en:milk,1
8480000512376,4 quesos rallados,Hacendado,yogures,360.0,25.0,28.0,2.0,,24900000012
8480000096258,5 Semillas Pan,Hacendado,pan,273.3,11.0,5.1,43.0,en:gluten|en:sesame-seeds,24995000122
8480000832771,5 bocadillos,Hacendado,pan,261.0,8.3,0.8,54.0,en:gluten,22950000002
8480000228482,55% cacao con avellanas enteras,Hacendado,snacks_dulces,588.0,8.0,43.0,38.0,en:nuts,22950000001
8170000808707,6 Maxi Tortillas Trigo,Hacendado,pan,302.0,7.3,5.4,55.0,,1
2380849004888,ALITAS POLLO,Hacendado,carne,240.0,17.0,18.0,2.1,,0
8402001001192,AOVE,Hacendado,aceites_salsas,822.0,0.0,91.0,0.0,,1
8480000044853,Aceite de Oliva,Hacendado,aceites_salsas,822.0,0.0,91.4,0.0,,2
8480000047106,Aceite de Oliva Virgen,Hacendado,aceites_salsas,819.0,0.0,91.0,0.0,,0
8480000047496,Aceite de Oliva Virgen  VISIT,Hacendado,aceites_salsas,822.0,0.0,91.4,0.0,,24950000037
8402001020629,Aceite de Oliva Virgen Extra,Hacendado,aceites_salsas,819.0,0.0,91.0,0.0,,24900000016
8004275080653,Aceite de aguacate,"Ethnos, Pietro Coricelli",aceites_salsas,823.0,0.0,92.0,0.0,en:nuts|en:sesame-seeds,21950000001
8480000048837,Aceite de coco,hacendado,aceites_salsas,900.0,0.0,100.0,0.0,,1
8436542193474,Aceite de coco virgen extra,"Nat Sanno, NaturGreen",aceites_salsas,900.0,0.0,100.0,0.0,,21900000001
